trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,ASR,SRC,SRC,08:50 23-Feb,08:51 23-Feb
11058,JNL,09:04 23-Feb,09:15 23-Feb,09:06 23-Feb,09:17 23-Feb
11058,BEAS,09:23 23-Feb,09:40 23-Feb,09:25 23-Feb,09:43 23-Feb
11058,KRE,09:42 23-Feb,**UA**,09:44 23-Feb,**UA**
11058,JUC,10:08 23-Feb,10:22 23-Feb,10:15 23-Feb,10:25 23-Feb
11058,JRC,10:24 23-Feb,10:35 23-Feb,10:26 23-Feb,10:36 23-Feb
11058,PGW,10:38 23-Feb,10:50 23-Feb,10:40 23-Feb,10:52 23-Feb
11058,PHR,10:58 23-Feb,11:08 23-Feb,11:00 23-Feb,11:10 23-Feb
11058,LDH,11:30 23-Feb,11:28 23-Feb,11:45 23-Feb,11:45 23-Feb
11058,AHH,12:21 23-Feb,12:52 23-Feb,12:23 23-Feb,12:54 23-Feb
11058,MET,12:40 23-Feb,13:13 23-Feb,12:45 23-Feb,13:16 23-Feb
11058,DUI,13:25 23-Feb,13:31 23-Feb,13:45 23-Feb,13:47 23-Feb
11058,NBA,14:06 23-Feb,14:20 23-Feb,14:08 23-Feb,14:23 23-Feb
11058,PTA,14:40 23-Feb,14:54 23-Feb,14:45 23-Feb,14:57 23-Feb
11058,RPJ,15:22 23-Feb,15:31 23-Feb,15:25 23-Feb,15:33 23-Feb
11058,UBC,15:48 23-Feb,15:49 23-Feb,15:50 23-Feb,15:52 23-Feb
11058,UMB,16:10 23-Feb,16:05 23-Feb,16:23 23-Feb,16:26 23-Feb
11058,SHDM,16:37 23-Feb,16:45 23-Feb,16:39 23-Feb,16:46 23-Feb
11058,KKDE,16:55 23-Feb,17:04 23-Feb,16:57 23-Feb,17:06 23-Feb
11058,NLKR,17:10 23-Feb,17:21 23-Feb,17:12 23-Feb,17:23 23-Feb
11058,TRR,17:18 23-Feb,17:31 23-Feb,17:20 23-Feb,17:33 23-Feb
11058,KUN,17:30 23-Feb,17:45 23-Feb,17:32 23-Feb,17:47 23-Feb
11058,GRA,17:46 23-Feb,18:03 23-Feb,17:48 23-Feb,18:05 23-Feb
11058,PNP,18:01 23-Feb,18:19 23-Feb,18:03 23-Feb,18:21 23-Feb
11058,SMK,18:17 23-Feb,18:44 23-Feb,18:19 23-Feb,18:45 23-Feb
11058,GNU,18:30 23-Feb,18:57 23-Feb,18:32 23-Feb,18:58 23-Feb
11058,SNP,18:45 23-Feb,19:12 23-Feb,18:47 23-Feb,19:14 23-Feb
11058,RDDE,18:56 23-Feb,19:25 23-Feb,18:58 23-Feb,19:26 23-Feb
11058,NUR,19:09 23-Feb,19:34 23-Feb,19:11 23-Feb,19:40 23-Feb
11058,ANDI,19:24 23-Feb,20:01 23-Feb,19:26 23-Feb,20:06 23-Feb
11058,SZM,19:50 23-Feb,20:17 23-Feb,19:52 23-Feb,20:28 23-Feb
11058,NDLS,20:25 23-Feb,20:52 23-Feb,20:40 23-Feb,21:12 23-Feb
11058,NZM,20:51 23-Feb,21:29 23-Feb,20:53 23-Feb,21:32 23-Feb
